Timestamp,GSR Value (uS)
2025-05-23 11:15:25.190,-0.24
2025-05-23 11:15:25.369,-0.24
2025-05-23 11:15:25.548,-0.24
2025-05-23 11:15:25.670,-0.24
2025-05-23 11:15:25.850,-0.29
2025-05-23 11:15:25.970,-0.24
2025-05-23 11:15:26.149,-0.24
2025-05-23 11:15:26.268,-0.24
2025-05-23 11:15:26.448,-0.24
2025-05-23 11:15:26.568,-0.24
2025-05-23 11:15:26.748,-0.24
2025-05-23 11:15:26.929,-0.24
2025-05-23 11:15:27.049,-0.24
2025-05-23 11:15:27.228,-0.24
2025-05-23 11:15:27.349,-0.24
2025-05-23 11:15:27.529,-0.24
2025-05-23 11:15:27.648,-0.24
2025-05-23 11:15:27.829,-0.29
2025-05-23 11:15:27.949,-0.24
2025-05-23 11:15:28.129,-0.24
2025-05-23 11:15:28.249,-0.24
2025-05-23 11:15:28.429,-0.24
2025-05-23 11:15:28.549,-0.24
2025-05-23 11:15:28.728,-0.24
2025-05-23 11:15:28.908,-0.24
2025-05-23 11:15:29.029,-0.24
2025-05-23 11:15:29.208,-0.24
2025-05-23 11:15:29.329,-0.19
2025-05-23 11:15:29.510,-0.24
2025-05-23 11:15:29.628,-0.24
2025-05-23 11:15:29.809,-0.24
2025-05-23 11:15:29.929,-0.24
2025-05-23 11:15:30.109,-0.24
2025-05-23 11:15:30.289,-0.24
2025-05-23 11:15:30.408,-0.24
2025-05-23 11:15:30.589,-0.24
2025-05-23 11:15:30.708,-0.29
2025-05-23 11:15:30.889,-0.24
2025-05-23 11:15:31.009,-0.24
2025-05-23 11:15:31.188,-0.24
2025-05-23 11:15:31.309,-0.24
2025-05-23 11:15:31.490,-0.24
2025-05-23 11:15:31.668,-0.24
2025-05-23 11:15:31.789,-0.24
2025-05-23 11:15:31.970,-0.24
2025-05-23 11:15:32.089,-0.24
2025-05-23 11:15:32.268,-0.29
2025-05-23 11:15:32.389,-0.24
2025-05-23 11:15:32.569,-0.24
2025-05-23 11:15:32.688,-0.24
2025-05-23 11:15:32.870,-0.24
2025-05-23 11:15:33.049,-0.24
2025-05-23 11:15:33.169,-0.24
2025-05-23 11:15:33.350,-0.24
2025-05-23 11:15:33.469,-0.24
2025-05-23 11:15:33.650,-0.24
2025-05-23 11:15:33.769,-0.24
2025-05-23 11:15:33.949,-0.24
2025-05-23 11:15:34.069,-0.24
2025-05-23 11:15:34.248,-0.24
2025-05-23 11:15:34.369,-0.24
2025-05-23 11:15:34.549,-0.24
2025-05-23 11:15:34.728,-0.24
2025-05-23 11:15:34.849,-0.24
2025-05-23 11:15:35.029,-0.24
2025-05-23 11:15:35.149,-0.24
2025-05-23 11:15:35.329,-0.24
2025-05-23 11:15:35.450,-0.24
2025-05-23 11:15:35.629,-0.24
2025-05-23 11:15:35.748,-0.24
2025-05-23 11:15:35.929,-0.24
2025-05-23 11:15:36.049,-0.24
2025-05-23 11:15:36.230,-0.24
2025-05-23 11:15:36.349,-0.24
2025-05-23 11:15:36.529,-0.24
2025-05-23 11:15:36.709,-0.24
2025-05-23 11:15:36.828,-0.29
2025-05-23 11:15:37.009,-0.24
2025-05-23 11:15:37.129,-0.24
2025-05-23 11:15:37.308,-0.24
2025-05-23 11:15:37.429,-0.24
2025-05-23 11:15:37.610,-0.24
2025-05-23 11:15:37.729,-0.24
2025-05-23 11:15:37.909,-0.24
2025-05-23 11:15:38.088,-0.24
2025-05-23 11:15:38.274,-0.24
2025-05-23 11:15:38.388,-0.24
2025-05-23 11:15:38.509,-0.24
2025-05-23 11:15:38.689,-0.24
